,cores,user_pct,idle_pct,system_pct,host
2,8,0.0091625,0.966275,0.024575,PRODUCCION
3,4,0.003125,0.989475,0.007425,DEVELOP
6,4,0.035175000000000005,0.929675,0.03515,QASERVER
16,4,0.024650000000000002,0.954225,0.021125,PREPRODUCCION
18,8,0.001175,0.9949250000000001,0.0039000000000000003,PRODUCCION
23,16,0.007,0.99136875,0.0016250000000000001,PRUEBAS
27,16,0.003125,0.995375,0.0014375,PRUEBAS
31,4,0.0007750000000000001,0.9949250000000001,0.0043,QASERVER
34,4,0.014450000000000001,0.9554750000000001,0.030075,QASERVER
59,4,0.014475,0.9785,0.007025,QASERVER
61,4,0.0004,0.996075,0.0035250000000000004,PREPRODUCCION
65,4,0.025,0.9636750000000001,0.011325,PREPRODUCCION
66,8,0.006050000000000001,0.97695,0.017,PRODUCCION
82,16,0.0071875,0.991125,0.0016250000000000001,PRUEBAS
84,4,0.0015500000000000002,0.99455,0.0039000000000000003,QASERVER
89,4,0.001575,0.994525,0.0039000000000000003,DEVELOP
92,4,0.06455,0.888125,0.047325,DEVELOP
94,8,0.046025,0.93175,0.022225,PRODUCCION
101,8,0.0209375,0.95305,0.0260125,PRODUCCION
106,16,0.00125,0.9975,0.00125,PRUEBAS
107,16,0.00694375,0.99174375,0.0013125,PRUEBAS
108,4,0.013625,0.9782,0.008175,QASERVER
110,4,0.008175,0.9801,0.0117,PREPRODUCCION
116,16,0.005625,0.9926875,0.0015625,PRUEBAS
117,16,0.00125,0.9975,0.00125,PRUEBAS
118,4,0.31785,0.53395,0.1482,PREPRODUCCION
122,4,0.039075,0.902725,0.0582,QASERVER
128,4,0.06415,0.88265,0.053200000000000004,DEVELOP
133,4,0.007050000000000001,0.9847250000000001,0.008225,PREPRODUCCION
136,4,0.0043,0.989475,0.00625,DEVELOP
137,4,0.001975,0.993325,0.0047,QASERVER
153,4,0.05985,0.84,0.10015,DEVELOP
160,8,0.09395,0.86055,0.0455,PRODUCCION
168,4,0.059775,0.7328250000000001,0.2074,DEVELOP
179,8,0.00255,0.9910125,0.0064375000000000005,PRODUCCION
192,4,0.034375,0.9535,0.012125,DEVELOP
193,8,0.0039125,0.9865,0.009575,PRODUCCION
200,8,0.06825,0.9165375,0.0152125,PRODUCCION
211,4,0.0446,0.89515,0.06025,PREPRODUCCION
219,4,0.00275,0.9863,0.01095,PREPRODUCCION
231,8,0.0082,0.9553375,0.0364625,PRODUCCION
232,8,0.010337500000000001,0.9728875,0.016775,PRODUCCION
234,8,0.0170375,0.945375,0.0375875,PRODUCCION
237,4,0.0316,0.9337,0.0347,DEVELOP
244,4,0.012875000000000001,0.967225,0.0199,QASERVER
247,4,0.021075,0.949675,0.02925,DEVELOP
248,4,0.02225,0.943775,0.033975,QASERVER
257,4,0.015575,0.945875,0.03855,DEVELOP
261,4,0.009375,0.980075,0.01055,PREPRODUCCION
272,4,0.017150000000000002,0.96645,0.016375,QASERVER
276,4,0.001175,0.99295,0.005875,PREPRODUCCION
278,4,0.002725,0.99335,0.0039250000000000005,DEVELOP
284,4,0.003125,0.988275,0.0086,QASERVER
298,4,0.00235,0.992575,0.0050750000000000005,DEVELOP
301,8,0.007412500000000001,0.9777625,0.014825000000000001,PRODUCCION
305,8,0.014825000000000001,0.9504625,0.034725,PRODUCCION
315,4,0.057525,0.897875,0.044625000000000005,DEVELOP
317,4,0.002725,0.9918,0.005475,DEVELOP
320,4,0.003125,0.992175,0.0047,PREPRODUCCION
330,8,0.0082,0.9763625,0.015437500000000002,PRODUCCION
333,4,0.031625,0.944925,0.023450000000000002,DEVELOP
353,4,0.036725,0.9289000000000001,0.034375,QASERVER
354,8,0.013112500000000001,0.9554,0.0314875,PRODUCCION
368,4,0.00625,0.98515,0.0086,DEVELOP
375,4,0.001575,0.990225,0.0082,PREPRODUCCION
381,4,0.0007750000000000001,0.9961,0.003125,QASERVER
385,8,0.0035125,0.987525,0.008975,PRODUCCION
386,4,0.027350000000000003,0.9457,0.02695,PREPRODUCCION
387,4,0.016425000000000002,0.970675,0.0129,PREPRODUCCION
394,4,0.0035250000000000004,0.9914000000000001,0.0050750000000000005,DEVELOP
400,4,0.043675000000000005,0.9282250000000001,0.028075000000000003,DEVELOP
410,4,0.0008,0.9949,0.0043,QASERVER
415,4,0.021050000000000003,0.941925,0.03705,QASERVER
427,4,0.01365,0.9781500000000001,0.008175,QASERVER
430,8,0.0074375000000000005,0.973,0.0195625,PRODUCCION
433,4,0.0047,0.98515,0.010150000000000001,QASERVER
440,8,0.023975,0.9426875,0.0333375,PRODUCCION
453,16,0.0011875,0.9975,0.00125,PRUEBAS
462,4,0.014450000000000001,0.978125,0.007425,QASERVER
464,8,0.0089875,0.9761625,0.01485,PRODUCCION
466,16,0.0011875,0.9975,0.0013125,PRUEBAS
471,4,0.0261,0.9497,0.024200000000000003,PREPRODUCCION
472,4,0.001175,0.994125,0.0047,PREPRODUCCION
476,16,0.0008125000000000001,0.9980625,0.0010625,PRUEBAS
483,16,0.0014375,0.997375,0.0011875,PRUEBAS
492,16,0.005125,0.9935625,0.0013125,PRUEBAS
493,8,0.0072250000000000005,0.9808625,0.011912500000000001,PRODUCCION
496,4,0.015625,0.9711000000000001,0.013275,PREPRODUCCION
501,4,0.012475,0.9781500000000001,0.00935,PREPRODUCCION
516,4,0.016,0.971125,0.012875000000000001,PREPRODUCCION
528,4,0.039075,0.93865,0.022275,DEVELOP
535,8,0.0085875,0.8668125,0.1246,PRODUCCION
543,4,0.009025,0.96985,0.021125,DEVELOP
544,4,0.2676,0.601925,0.130475,PREPRODUCCION
551,4,0.08125,0.5539000000000001,0.36485,DEVELOP
553,16,0.007125,0.99124375,0.0015625,PRUEBAS
555,4,0.00625,0.982425,0.011325,DEVELOP
557,16,0.0030625,0.99574375,0.0011875,PRUEBAS
567,4,0.0285,0.94025,0.03125,DEVELOP
570,16,0.0072562500000000005,0.99124375,0.0014375,PRUEBAS
571,4,0.0004,0.995675,0.0039250000000000005,QASERVER
583,4,0.02425,0.956975,0.018775,PREPRODUCCION
585,16,0.0069375,0.9915,0.0015,PRUEBAS
601,4,0.0082,0.9883,0.0035,DEVELOP
602,8,0.0780625,0.881425,0.0405125,PRODUCCION
607,4,0.059075,0.909625,0.0313,DEVELOP
617,4,0.00235,0.988625,0.009025,DEVELOP
633,16,0.0011875,0.99775,0.0010625,PRUEBAS
637,8,0.0074375000000000005,0.9698625,0.0227,PRODUCCION
661,4,0.013275,0.97695,0.009775,QASERVER
674,4,0.0621,0.891025,0.046875,DEVELOP
676,4,0.0050750000000000005,0.989025,0.005875,QASERVER
677,4,0.3124,0.526125,0.161475,PREPRODUCCION
680,4,0.02935,0.94835,0.0223,QASERVER
683,4,0.0019500000000000001,0.9964999999999999,0.0015500000000000002,PREPRODUCCION
688,16,0.001,0.998,0.001,PRUEBAS
690,8,0.0046875,0.9769625,0.01835,PRODUCCION
693,4,0.02265,0.9641,0.013275,QASERVER
695,4,0.010575000000000001,0.901425,0.088025,PREPRODUCCION
704,8,0.014087500000000001,0.9581125,0.0277875,PRODUCCION
706,4,0.007050000000000001,0.983175,0.009775,PREPRODUCCION
707,4,0.007425,0.975,0.017575,PREPRODUCCION
710,16,0.0011875,0.9974375,0.00125,PRUEBAS
713,16,0.0071312500000000004,0.99130625,0.0015625,PRUEBAS
718,4,0.017975,0.965625,0.0164,PREPRODUCCION
719,8,0.0033125000000000003,0.9871375,0.009550000000000001,PRODUCCION
723,4,0.011725000000000001,0.983575,0.0047,DEVELOP
725,4,0.038275,0.934775,0.02695,PREPRODUCCION
726,4,0.010150000000000001,0.986325,0.0035250000000000004,QASERVER
733,16,0.001375,0.9975625,0.0010625,PRUEBAS
736,16,0.0011250000000000001,0.9975,0.001375,PRUEBAS
742,4,0.00235,0.994125,0.0035250000000000004,PREPRODUCCION
754,8,0.1874,0.752725,0.059862500000000006,PRODUCCION
755,8,0.0117,0.960225,0.028075000000000003,PRODUCCION
760,8,0.022075,0.939625,0.0383,PRODUCCION
770,4,0.026125000000000002,0.931725,0.042125,DEVELOP
780,16,0.001375,0.9974375,0.0011875,PRUEBAS
782,8,0.0107375,0.9759875,0.013275,PRODUCCION
786,4,0.03715,0.917475,0.045375000000000006,DEVELOP
788,4,0.025400000000000002,0.9539,0.0207,PREPRODUCCION
795,4,0.0019500000000000001,0.992575,0.005475,DEVELOP
799,4,0.00235,0.992175,0.005475,QASERVER
827,4,0.016800000000000002,0.97305,0.010150000000000001,QASERVER
839,4,0.001175,0.9949250000000001,0.0039000000000000003,PREPRODUCCION
843,16,0.0010625,0.9976875,0.00125,PRUEBAS
851,4,0.022275,0.9039,0.073825,PREPRODUCCION
858,4,0.019125,0.962925,0.01795,PREPRODUCCION
861,4,0.03475,0.91875,0.0465,DEVELOP
862,4,0.0207,0.962125,0.017175,PREPRODUCCION
865,4,0.024200000000000003,0.9637,0.012100000000000001,DEVELOP
869,4,0.00545,0.983575,0.010975,QASERVER
873,4,0.0082,0.9793000000000001,0.0125,PREPRODUCCION
879,4,0.034,0.9414,0.0246,PREPRODUCCION
882,4,0.0015500000000000002,0.987125,0.011325,PREPRODUCCION
884,16,0.0021875,0.9965625,0.0011875,PRUEBAS
888,4,0.003125,0.993375,0.0035,QASERVER
889,16,0.0015625,0.9970625,0.0013125,PRUEBAS
896,8,0.026175,0.9376875,0.0361375,PRODUCCION
897,8,0.015237500000000001,0.9585875,0.026175,PRODUCCION
902,16,0.007381250000000001,0.99086875,0.00175,PRUEBAS
910,16,0.0010625,0.997625,0.00125,PRUEBAS
922,4,0.0066500000000000005,0.979275,0.014075,DEVELOP
926,8,0.0938875,0.85535,0.0507625,PRODUCCION
942,4,0.029300000000000003,0.95,0.0207,PREPRODUCCION
964,16,0.001,0.997875,0.0011250000000000001,PRUEBAS
967,4,0.0313,0.891225,0.077475,PREPRODUCCION
969,4,0.002725,0.990625,0.0066500000000000005,QASERVER
