,actual_used_bytes,actual_used_pct,swap_free,swap_total,free,swap,bytes_total,bytes_total_norm,swap_norm
5,4141031424.0,0.48210000000000003,5615337472.0,9931096064.0,4447887360.0,0.434570219056135,8588918784.0,0.13081904707717404,0.5443395629295271
7,5164449792.0,0.6013000000000001,4451950592.0,9931096064.0,3424468992.0,0.5517160882031722,8588918784.0,0.13081904707717404,0.6910756447277618
8,5752725504.0,0.2232,23819849728.0,29526859776.0,20016037888.0,0.19328198431174748,25768763392.0,0.3924877107440357,0.242103637683506
11,9764220928.0,0.5684,8783433728.0,19728990208.0,7414632448.0,0.5547955756783556,17178853376.0,0.2616535660708856,0.6949329888180428
14,5098823680.0,0.5937,4535349248.0,9931096064.0,3490095104.0,0.5433183589432249,8588918784.0,0.13081904707717404,0.6805567088354482
29,4295946240.0,0.5002,5434740736.0,9931096064.0,4292972544.0,0.45275519429312405,8588918784.0,0.13081904707717404,0.5671179334628016
39,9304399872.0,0.5416000000000001,9752436736.0,19728982016.0,7874445312.0,0.5056796783487929,17178845184.0,0.2616534412973651,0.6334107654513925
46,3176783872.0,0.0472,34355539968.0,34355539968.0,58018320384.0,0.0,61195104256.0,0.9320713614700118,0.0
60,6239277056.0,0.0927,34355539968.0,34355539968.0,53908901888.0,0.0,60148178944.0,0.9161254927150356,0.0
70,6075580416.0,0.2358,23513567232.0,29526859776.0,19693182976.0,0.20365499716592683,25768763392.0,0.3924877107440357,0.2550967997450254
73,4166549504.0,0.1617,25477353472.0,29526859776.0,21602213888.0,0.13714652810088246,25768763392.0,0.3924877107440357,0.17178876483041539
81,8638128128.0,0.32180000000000003,21749776384.0,30735253504.0,18204811264.0,0.2923508380638733,26842939392.0,0.4088486386148342,0.36619657867814753
87,5816520704.0,0.0864,34355539968.0,34355539968.0,54509465600.0,0.0,60325986304.0,0.9188337019766996,0.0
88,9021591552.0,0.5252,9697583104.0,19728982016.0,8157253632.0,0.5084600362991176,17178845184.0,0.2616534412973651,0.6368934220281698
99,7418183680.0,0.27640000000000003,22824615936.0,30735253504.0,19424755712.0,0.25737993561596884,26842939392.0,0.4088486386148342,0.32239227521002495
113,3921334272.0,0.4566,6865231872.0,11004837888.0,4667584512.0,0.3761623804121593,8588918784.0,0.13081904707717404,0.4711783200165305
132,5752459264.0,0.2232,23820046336.0,29526859776.0,20016304128.0,0.19327532569645645,25768763392.0,0.3924877107440357,0.24209529714939138
139,7987003392.0,0.2975,22477668352.0,30735253504.0,18855936000.0,0.2686681972844417,26842939392.0,0.4088486386148342,0.3365318714211885
143,7464857600.0,0.2781,22747537408.0,30735253504.0,19378081792.0,0.25988775706569167,26842939392.0,0.4088486386148342,0.3255335545061819
155,4219793408.0,0.0627,34355539968.0,34355539968.0,56781918208.0,0.0,61001711616.0,0.9291257705856657,0.0
156,3121307648.0,0.1163,27315699712.0,30735253504.0,23721631744.0,0.11125835651737725,26842939392.0,0.4088486386148342,0.13936142538820312
163,6923919360.0,0.2687,22863699968.0,29526859776.0,18844844032.0,0.22566435640460303,25768763392.0,0.3924877107440357,0.28266556645518137
169,6787706880.0,0.2529,23869620224.0,30735253504.0,20055232512.0,0.22337975117421693,26842939392.0,0.4088486386148342,0.27980388620641533
170,8469749760.0,0.3155,21944614912.0,30735253504.0,18373189632.0,0.28601158571397345,26842939392.0,0.4088486386148342,0.3582560763102236
174,6888112128.0,0.26730000000000004,22836633600.0,29526859776.0,18880651264.0,0.2265810257763321,25768763392.0,0.3924877107440357,0.28381377998495716
189,4125876224.0,0.48040000000000005,6700269568.0,11004837888.0,4463042560.0,0.39115236078977844,8588918784.0,0.13081904707717404,0.4899546627323238
191,7270326272.0,0.27080000000000004,22941626368.0,30735253504.0,19572613120.0,0.25357289260639115,26842939392.0,0.4088486386148342,0.31762360023641906
194,4758257664.0,0.554,6317539328.0,11004837888.0,3830661120.0,0.4259307231695951,8588918784.0,0.13081904707717404,0.5335177918817438
209,4461539328.0,0.5195000000000001,6565216256.0,11004837888.0,4127379456.0,0.40342453720659477,8588918784.0,0.13081904707717404,0.5053267035533285
215,2718896128.0,0.040400000000000005,34355539968.0,34355539968.0,59167961088.0,0.0,61886857216.0,0.9426075494717651,0.0
216,6168436736.0,0.7182000000000001,2638323712.0,10862071808.0,2420482048.0,0.7571067694418248,8588918784.0,0.13081904707717404,0.9483465499869279
217,5528117248.0,0.21450000000000002,23892148224.0,29526859776.0,20240646144.0,0.1908334172596302,25768763392.0,0.3924877107440357,0.23903658002399117
218,4211154944.0,0.4903,5526429696.0,9931096064.0,4377763840.0,0.44352268265401407,8588918784.0,0.13081904707717404,0.5555533551046934
226,4256432128.0,0.24780000000000002,14497521664.0,19728982016.0,12922413056.0,0.2651662588448477,17178845184.0,0.2616534412973651,0.3321453682600769
230,6113120256.0,0.23720000000000002,23470538752.0,29526859776.0,19655643136.0,0.2051122628665949,25768763392.0,0.3924877107440357,0.25692216038822996
235,7135379456.0,0.27690000000000003,22538948608.0,29526859776.0,18633383936.0,0.23666286293268168,25768763392.0,0.3924877107440357,0.2964422174400905
243,4460531712.0,0.5193,5402144768.0,9931096064.0,4128387072.0,0.45603740682937777,8588918784.0,0.13081904707717404,0.5712292095214939
256,5743353856.0,0.22290000000000001,23825809408.0,29526859776.0,20025409536.0,0.19308014503573878,25768763392.0,0.3924877107440357,0.24185081524315744
258,5436579840.0,0.211,24085676032.0,29526859776.0,20332183552.0,0.1842791202748455,25768763392.0,0.3924877107440357,0.2308267142771919
280,7859478528.0,0.2928,22356176896.0,30735253504.0,18983460864.0,0.2726210345689687,26842939392.0,0.4088486386148342,0.34148316726576877
295,9150459904.0,0.5327000000000001,9521459200.0,19728982016.0,8028385280.0,0.517387202630212,17178845184.0,0.2616534412973651,0.6480755270270385
306,6002683904.0,0.23290000000000002,23592484864.0,29526859776.0,19766079488.0,0.2009822567323456,25768763392.0,0.3924877107440357,0.25174894410365267
311,4234797056.0,0.49310000000000004,5505024000.0,9931096064.0,4354121728.0,0.4456781039551527,8588918784.0,0.13081904707717404,0.5582532204832716
316,3820216320.0,0.44480000000000003,6069858304.0,9931096064.0,4768702464.0,0.3888027801882715,8588918784.0,0.13081904707717404,0.4870115947962148
319,5699289088.0,0.0847,34355539968.0,34355539968.0,54677291008.0,0.0,60376580096.0,0.9196043032390832,0.0
326,3877662720.0,0.4515,6890135552.0,11004837888.0,4711256064.0,0.3738994047778562,8588918784.0,0.13081904707717404,0.46834373284584907
343,5771382784.0,0.224,23811526656.0,29526859776.0,19997380608.0,0.19356386569240025,25768763392.0,0.3924877107440357,0.24245672029435716
347,6146510848.0,0.23850000000000002,23447912448.0,29526859776.0,19622252544.0,0.20587855850966874,25768763392.0,0.3924877107440357,0.25788201685591794
348,4197306368.0,0.16290000000000002,25458925568.0,29526859776.0,21571457024.0,0.13777063456326277,25768763392.0,0.3924877107440357,0.1725705161425312
349,3287678976.0,0.12250000000000001,27430522880.0,30735253504.0,23555260416.0,0.10752247817217153,26842939392.0,0.4088486386148342,0.13468189076660844
351,3915173888.0,0.45580000000000004,5997309952.0,9931096064.0,4673744896.0,0.3961079508897196,8588918784.0,0.13081904707717404,0.49616199961546037
355,8811642880.0,0.32830000000000004,21559164928.0,30735253504.0,18031296512.0,0.298552558702852,26842939392.0,0.4088486386148342,0.37396480980398233
364,4003430400.0,0.4661,6857342976.0,11004837888.0,4585488384.0,0.37687923749631524,8588918784.0,0.13081904707717404,0.4720762500972431
371,3700510720.0,0.055,34355539968.0,34355539968.0,57525334016.0,0.0,61225844736.0,0.9325395741055517,0.0
372,3036594176.0,0.0451,34355539968.0,34355539968.0,58537840640.0,0.0,61574434816.0,0.9378489993350819,0.0
373,5729251328.0,0.2223,23831678976.0,29526859776.0,20039512064.0,0.19288135762507164,25768763392.0,0.3924877107440357,0.24160181554761118
378,6089408512.0,0.2363,23521865728.0,29526859776.0,19679354880.0,0.20337394811218545,25768763392.0,0.3924877107440357,0.2547447597009386
383,4742311936.0,0.2761,14234914816.0,19728982016.0,12436533248.0,0.2784769733960104,17178845184.0,0.2616534412973651,0.3488182745553969
393,5507022848.0,0.2137,23895990272.0,29526859776.0,20261740544.0,0.19070329681915177,25768763392.0,0.3924877107440357,0.23887359208650188
396,6302334976.0,0.0936,34355539968.0,34355539968.0,53701984256.0,0.0,60004319232.0,0.9139343449221732,0.0
397,8086482944.0,0.4707,10905481216.0,19728982016.0,9092362240.0,0.4472354829480929,17178845184.0,0.2616534412973651,0.5602039823237263
401,8954187776.0,0.5212,9993129984.0,19728982016.0,8224657408.0,0.49347969520699675,17178845184.0,0.2616534412973651,0.618129153412775
404,4550709248.0,0.2649,14182428672.0,19728982016.0,12628135936.0,0.2811373308314541,17178845184.0,0.2616534412973651,0.35215061934145014
406,2964271104.0,0.044,34355539968.0,34355539968.0,58659676160.0,0.0,61623947264.0,0.9386031304927643,0.0
408,2870185984.0,0.0426,34355539968.0,34355539968.0,61877825536.0,0.0,64748011520.0,0.9861861987759468,0.0
409,7949094912.0,0.29610000000000003,22514348032.0,30735253504.0,18893844480.0,0.2674747898510127,26842939392.0,0.4088486386148342,0.3350370177652695
431,5524242432.0,0.2144,23904284672.0,29526859776.0,20244520960.0,0.19042238648656218,25768763392.0,0.3924877107440357,0.2385217258035423
432,5464686592.0,0.2121,24089194496.0,29526859776.0,20304076800.0,0.18415995880536673,25768763392.0,0.3924877107440357,0.23067745346876606
434,3923787776.0,0.058300000000000005,34355539968.0,34355539968.0,57211400192.0,0.0,61135187968.0,0.9311587679413404,0.0
437,4436996096.0,0.5166000000000001,6582878208.0,11004837888.0,4151922688.0,0.4018196110659509,8588918784.0,0.13081904707717404,0.5033163844941216
456,2619584512.0,0.305,7306690560.0,9931096064.0,5969334272.0,0.2642614155665467,8588918784.0,0.13081904707717404,0.33101196801074584
